"'title'","'href'","'artist"'
"'Dans Ma Rue'","'/track/5xqZSxQXu2s2T7ax1TX5xq'","'Philippe Swan"'
"'Eve lève-toi'","'/track/3MPmRgJHfD7CADCibQfNgG'","'Julie Pietri"'
"'Le jerk'","'/track/6zW9AITRbwNwvSt293g2z8'","'Thierry Hazard"'
"'Cœur de loup'","'/track/3lwX10MDUwGfSzuwIfQAln'","'Philippe Lafontaine"'
"'Chacun fait (c'qui lui plait)'","'/track/5TpIQ1tVlPnm4SHObswUU6'","'Chagrin D'amour"'
"'Elle Danse Marie'","'/track/2DtKcZQenaSdNd48Pq1pwT'","'François Valéry"'
"'Dance Monkey'","'/track/2XU0oxnq2qxCpomAAuJY8K'","'Tones And I"'
"'Boule de flipper'","'/track/0Mysw4Rzf33PbpEfccKEBB'","'Corynne CHARBY"'
"'Les divas du dancing'","'/track/5oKu1Ey6XNDXv5B3LG7kn9'","'Philippe Cataldo"'
"'Rocket Man (Originally Performed By Kate Bush) [Full Vocal Version]'","'/track/7rvg6HmyVXDKMAElUemWB0'","'Paris Music"'
"'Babooshka'","'/track/53Mz9H5UvWMQUXHZnaZYKQ'","'Kate Bush"'
"'Le Dernier Jour du Disco'","'/track/2Yu8DEe4uc8ApN7t7q0P4s'","'Juliette Armanet"'
"'Rather Be Alone'","'/track/1hUV7Uu4pYQZaaXLjEIIYn'","'Shane Codd"'
"'Waves - Robin Schulz Radio Edit'","'/track/1HFfMOxCAT4GAwaPfCdmUs'","'Mr. Probz"'
"'Sugar (feat. Francesco Yates)'","'/track/5tf1VVWniHgryyumXyJM7w'","'Robin Schulz"'
"'Prayer in C - Robin Schulz Radio Edit'","'/track/5fnA9mkIfScSqHIpeDyvck'","'Lilly Wood and The Prick"'
"'I'll Be Missing You (feat. Faith Evans, 112)'","'/track/3QHONiXGMGU3z68mQInncF'","'Diddy"'
"'La nuit je mens'","'/track/00wTuikg37dKAk5rhQgSFE'","'Alain Bashung"'
"'Cette année-là'","'/track/23ITHe1yTMZyDEq323xClf'","'Claude François"'
"'L'Aziza'","'/track/1uFWyT4KLFXisiVkiBPCTb'","'Daniel Balavoine"'
"'Alive and Kicking'","'/track/7zw24AUEHQxfDvMuajuNhe'","'Simple Minds"'
"'Comme un boomerang'","'/track/5RRqqGQPd10kj13zUZ8BMO'","'Étienne Daho"'
"'Rhythm of the Rain'","'/track/7GHf8dQ2wA71wYOuRsQCZP'","'The Cascades"'
"'Crazy in Love'","'/track/6m0qBDIhzICOwWMPZdgyVK'","'Daniela Andrade"'
